Rank,Name,Total Paid in Millions,Base Salary,"Endorsements, etc.",Sport,Country,Year,Source
24,Gareth Bale,34,23,11,Soccer,Wales,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
24,Conor McGregor,34,27,7,Mixed Martial Arts,Ireland,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
23,Usain Bolt,34.2,2.2,32,Track,Jamaica,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
22,Derrick Rose,34.3,21.3,13,Basketball,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
21,Jordan Spieth,34.5,5.5,29,Golf,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
20,Fernando Alonso,36,34,2,Race Car Driver,Spain,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
19,Dwayne Wade,36.2,23.2,13,Basketball,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
18,Neymar,37,15,22,Soccer,Brazil,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
17,Tiger Woods,37.1,0.107,37,Golf,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
16,Novak Djokovic,37.6,9.6,28,Tennis,Serbia,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
15,Damian Lillard,38.4,24.4,14,Basketball,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
14,Sebastian Vettel,38.5,38,0.5,Race Car Driver,Germany,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
13,Russell Westbrook,38.6,26.6,12,Basketball,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
12,Phil Mickelson,43.5,3.5,40,Golf,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
11,Drew Brees,45.3,31.3,14,Football,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
10,Lewis Hamilton,46,38,8,Race Car Driver,UK,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
9,James Harden,46.6,26.6,20,Basketball,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
8,Stephen Curry,47.3,12.3,35,Basketball,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
6,Andrew Luck,50,47,3,Football,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
6,Rory McIlroy,50,16,34,Golf,Ireland,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
5,Kevin Durant,60.6,23.6,34,Basketball,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
4,Roger Federer,64,6,58,Tennis,Switzerland,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
3,Lionel Messi,80,53,27,Soccer,Argentina,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
2,LeBron James,86.2,31.2,55,Basketball,USA,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/
1,Cristiano Ronaldo,93,58,35,Soccer,Portugal,2017,https://nypost.com/2017/06/07/the-top-25-highest-paid-athletes-in-the-world-for-2017-are/